# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-a" "data/sacCer3.ensGene.gtf" "-o" "data/sacCer.featureCounts.tsv" "bam/WT_C_1.bam" "bam/WT_C_2.bam" "bam/WT_C_3.bam" "bam/WT_E_1.bam" "bam/WT_E_2.bam" "bam/WT_E_3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/WT_C_1.bam	bam/WT_C_2.bam	bam/WT_C_3.bam	bam/WT_E_1.bam	bam/WT_E_2.bam	bam/WT_E_3.bam
YDL221W	chrIV	62011	62562	+	552	45	45	34	67	96	68
YDL220C	chrIV	62244	65018	-	2775	117	80	113	168	120	185
YDL219W	chrIV;chrIV	65242;65378	65306;65765	+;+	453	1053	1294	1065	782	766	791
YDL218W	chrIV	66493	67446	+	954	45	47	48	93	164	150
YDL217C	chrIV	67983	68606	-	624	472	425	584	706	575	580
YDL216C	chrIV	68997	70319	-	1323	340	212	386	390	657	772
YDL215C	chrIV	70640	73918	-	3279	1124	1224	1919	5616	6346	3944
YDL214C	chrIV	74446	76545	-	2100	45	42	68	438	830	535
YDL213C	chrIV	77289	77966	-	678	2572	2766	2177	1171	772	865
YDL212W	chrIV	78426	79058	+	633	5334	6555	4995	2891	3213	3586
YDL211C	chrIV	79294	80412	-	1119	196	100	146	65	144	74
tG(GCC)D1	chrIV	83548	83618	+	71	0	0	0	0	0	0
YDL210W	chrIV	84270	85985	+	1716	168	198	79	456	171	167
YDL209C	chrIV	86207	87226	-	1020	324	298	412	277	282	404
YDL208W	chrIV	87512	87982	+	471	7252	7654	6243	2370	1004	1782
YDL207W	chrIV	88248	89864	+	1617	936	626	902	1007	1132	987
YDL206W	chrIV	90176	92464	+	2289	406	327	574	682	1182	1207
YDL205C	chrIV	92762	93745	-	984	1585	1744	2073	1409	1502	1833
YDL204W	chrIV	94605	95786	+	1182	348	247	641	5603	13836	16971
YDL203C	chrIV	96082	97953	-	1872	507	447	576	667	742	718
YDL202W	chrIV	98475	99224	+	750	833	665	649	1882	1944	1268
YDL201W	chrIV	99561	100421	+	861	1140	802	799	514	470	577
YDL200C	chrIV	100501	101067	-	567	895	1080	515	1645	1528	1300
YDL199C	chrIV	101290	103353	-	2064	154	135	238	465	1096	899
YDL198C	chrIV	103649	104551	-	903	6652	5435	4417	1699	1949	2085
YDL197C	chrIV	104917	106494	-	1578	466	285	534	560	1077	1196
YDL196W	chrIV	106741	107070	+	330	14	5	7	18	22	43
YDL195W	chrIV	107208	111029	+	3822	1115	1044	1416	1464	2369	2127
YDL194W	chrIV	111580	114234	+	2655	165	92	324	401	576	547
YDL193W	chrIV	114672	115799	+	1128	617	474	768	716	1458	1248
YDL192W	chrIV	116321	116866	+	546	12896	14492	14028	10321	8620	9230
YDL191W	chrIV;chrIV	117664;118158	117666;118517	+;+	363	11828	13284	10764	5682	4396	5882
YDL190C	chrIV	118707	121592	-	2886	1279	1217	1585	1932	1753	1815
YDL189W	chrIV	122216	123589	+	1374	744	703	911	680	756	938
YDL188C	chrIV	123865	124998	-	1134	1025	855	1413	1091	1332	1391
YDL187C	chrIV	125509	125838	-	330	0	0	2	0	0	0
YDL186W	chrIV	125616	126449	+	834	65	54	67	40	99	97
YDL185C-A	chrIV	126608	126835	-	228	47	24	57	58	32	51
YDL185W	chrIV	126787	130002	+	3216	4549	4711	6786	6056	5921	6624
YDL184C	chrIV	130407	130484	-	78	5580	6475	5968	2910	2818	3484
YDL183C	chrIV	130871	131833	-	963	246	237	406	651	1087	723
YDL182W	chrIV	133437	134723	+	1287	5091	3857	5681	950	619	1335
YDL181W	chrIV	135179	135436	+	258	2321	2290	1364	4113	3902	4024
YDL180W	chrIV	135896	137539	+	1644	901	819	992	691	964	949
YDL179W	chrIV	138291	139205	+	915	1584	1565	903	1105	1430	1194
YDL178W	chrIV	139522	141114	+	1593	2539	2783	2412	4130	3284	3062
YDL177C	chrIV	141209	141721	-	513	579	775	637	612	649	735
YDL176W	chrIV	142097	144223	+	2127	427	427	574	721	830	696
YDL175C	chrIV	144484	145518	-	1035	558	433	649	500	625	582
YDL174C	chrIV	145826	147589	-	1764	3697	2681	2846	4999	4320	4013
YDL173W	chrIV	148191	149078	+	888	1302	1237	1127	1264	1258	1225
YDL172C	chrIV	148607	149086	-	480	0	5	2	3	6	0
YDL171C	chrIV	149203	155640	-	6438	1908	2567	2651	1004	1554	1355
YDL170W	chrIV	156318	157904	+	1587	873	547	687	634	522	768
YDL169C	chrIV	158064	158735	-	672	167	157	190	1748	2516	1904
YDL168W	chrIV	159604	160764	+	1161	1907	1833	2289	3480	3318	3328
YDL167C	chrIV	160995	163154	-	2160	1354	1217	920	769	194	294
YDL166C	chrIV	163449	164042	-	594	1512	1805	1215	789	504	542
YDL165W	chrIV	164290	164865	+	576	1447	1556	1558	1918	1533	1796
YDL164C	chrIV	164987	167254	-	2268	563	527	663	630	547	493
YDL163W	chrIV	166956	167258	+	303	0	0	0	0	0	0
YDL162C	chrIV	167359	167715	-	357	0	0	3	2	2	0
YDL161W	chrIV	167714	169078	+	1365	1829	1134	1226	1242	1575	1512
YDL160C-A	chrIV	169366	169608	-	243	603	613	545	892	798	732
YDL160C	chrIV	170410	171930	-	1521	203	158	419	285	198	411
YDL159W-A	chrIV	172182	172313	+	132	1	1	0	0	0	1
YDL159W	chrIV	172481	174028	+	1548	203	147	261	301	409	516
YDL159C-B	chrIV	173056	173232	-	177	0	0	0	0	0	0
YDL158C	chrIV	173866	174174	-	309	154	222	225	174	204	140
YDL157C	chrIV	174232	174588	-	357	1423	1757	1722	1256	1237	1280
YDL156W	chrIV	174918	176486	+	1569	180	75	126	94	58	118
YDL155W	chrIV	176773	178056	+	1284	850	717	965	515	820	859
YDL154W	chrIV	178334	181039	+	2706	376	410	170	506	548	269
YDL153C	chrIV	181186	183018	-	1833	2201	2212	2152	1319	422	443
YDL152W	chrIV	182822	183187	+	366	0	0	0	0	0	0
YDL151C	chrIV	183318	183899	-	582	31	39	38	24	11	15
YDL150W	chrIV	183343	184611	+	1269	876	775	696	450	286	286
YDL149W	chrIV	184925	187918	+	2994	195	224	297	653	868	875
YDL148C	chrIV	188154	190586	-	2433	1796	1692	1865	724	222	244
YDL147W	chrIV	190924	192261	+	1338	5437	5552	7032	11359	9829	9375
YDL146W	chrIV	192750	194225	+	1476	321	324	729	324	494	715
YDL145C	chrIV	194571	198176	-	3606	2709	2725	3347	2788	2775	2721
YDL144C	chrIV	198662	199732	-	1071	939	680	634	1831	2590	1949
YDL143W	chrIV	199996	201582	+	1587	4255	3118	4490	4927	3815	4111
YDL142C	chrIV	201719	202570	-	852	683	734	981	891	1212	1109
YDL141W	chrIV	203039	205111	+	2073	383	340	418	456	373	421
YDL140C	chrIV	205360	210561	-	5202	1363	1053	1359	1635	1588	1858
YDL139C	chrIV	211375	212046	-	672	208	173	274	183	288	346
YDL138W	chrIV	213351	215642	+	2292	646	516	453	707	553	642
YDL137W	chrIV	216529	217074	+	546	7153	8083	7600	12915	11798	13291
YDL136W	chrIV;chrIV	217600;218008	217602;218367	+;+	363	9689	11145	8450	3280	1868	2889
YDL135C	chrIV	218680	219288	-	609	1636	1723	1988	2475	2378	2549
YDL134C	chrIV	219662	220771	-	1110	2655	2499	3230	3601	3583	4033
YDL133C-A	chrIV	221724	221801	-	78	4351	5406	4805	2368	2221	2620
YDL133W	chrIV	222427	223740	+	1314	873	829	1256	1046	1565	1675
YDL132W	chrIV	224304	226751	+	2448	1765	1856	2477	3967	3855	3715
YDL131W	chrIV	227393	228715	+	1323	4876	3736	3913	2228	1830	2309
YDL130W-A	chrIV	229171	229431	+	261	1047	1073	1292	7854	7549	7310
YDL130W	chrIV;chrIV	229906;230321	230019;230527	+;+	321	8330	7488	8575	3405	2702	4022
YDL129W	chrIV	231024	231899	+	876	299	242	415	207	129	197
YDL128W	chrIV	232652	233887	+	1236	2368	1856	2054	2643	2097	2472
YDL127W	chrIV	234927	235853	+	927	344	296	370	251	314	406
YDL126C	chrIV	236157	238664	-	2508	9695	9537	12859	20381	17938	19562
YDL125C	chrIV;chrIV	239019;239510	239398;239606	-;-	477	5846	7573	6105	11006	8434	5951
YDL124W	chrIV	240259	241197	+	939	5057	4985	5047	23783	27749	23949
YDL123W	chrIV	241418	241840	+	423	296	274	451	539	889	743
YDL122W	chrIV	242552	244981	+	2430	2068	1927	1867	2187	1656	1894
YDL121C	chrIV	245133	245582	-	450	1838	2212	1899	722	459	638
YDL120W	chrIV	245923	246447	+	525	1286	1161	1298	1730	2531	2211
YDL119C	chrIV	246689	247612	-	924	372	396	375	651	973	821
YDL118W	chrIV	247302	247682	+	381	22	8	29	5	13	22
YDL117W	chrIV	248581	251238	+	2658	1155	1077	915	735	802	923
YDL116W	chrIV	251566	253746	+	2181	1322	1232	1593	1232	1021	1164
YDL115C	chrIV;chrIV	253995;255045	254974;255126	-;-	1062	948	1121	1301	2474	2807	2354
YDL114W-A	chrIV	254935	255048	+	114	1	2	8	7	2	1
YDL114W	chrIV	255604	256530	+	927	2	6	4	12	9	10
YDL113C	chrIV	256633	258555	-	1923	657	524	1072	1387	1698	1926
YDL112W	chrIV	258915	263225	+	4311	986	873	906	683	417	304
YDL111C	chrIV	263313	264110	-	798	1137	818	1056	904	872	823
YDL110C	chrIV	264512	264964	-	453	1478	1401	1811	8146	11299	9839
YDL109C	chrIV	265258	267201	-	1944	135	96	124	204	189	265
YDL108W	chrIV;chrIV	267698;267807	267725;268699	+;+	921	808	857	731	802	877	962
YDL107W	chrIV	268921	269976	+	1056	631	641	597	2033	1968	1456
YDL106C	chrIV	270222	271901	-	1680	405	360	502	462	732	736
YDL105W	chrIV	272389	273597	+	1209	266	178	286	121	113	150
YDL104C	chrIV	273653	274876	-	1224	425	460	326	804	588	440
YDL103C	chrIV	275148	276581	-	1434	1424	1356	1759	1936	2003	1968
YDL102W	chrIV	276872	280165	+	3294	601	508	583	661	528	411
YDL101C	chrIV	280307	281848	-	1542	833	818	661	685	907	571
YDL100C	chrIV	282112	283176	-	1065	5434	5549	6297	11245	9163	7963
YDL099W	chrIV	283419	284444	+	1026	2065	2034	2416	4497	4566	4276
YDL098C	chrIV	284581	285165	-	585	437	521	471	602	691	602
YDL097C	chrIV	285391	286695	-	1305	4011	3593	4055	9714	10424	8100
YDL096C	chrIV	286998	287324	-	327	0	1	0	0	0	0
YDL095W	chrIV	287059	289512	+	2454	2637	2594	3240	2218	2576	2097
YDL094C	chrIV	289572	290081	-	510	17	39	28	35	54	17
YDL093W	chrIV	289909	292140	+	2232	391	316	449	278	293	351
YDL092W	chrIV	292781	293221	+	441	2384	2821	2609	2393	2321	2497
YDL091C	chrIV	293392	294759	-	1368	696	746	940	1327	1886	1731
YDL090C	chrIV	295034	296329	-	1296	759	712	1006	535	749	968
YDL089W	chrIV	296820	298274	+	1455	384	317	493	599	995	1015
YDL088C	chrIV	298417	300003	-	1587	1038	838	1142	1045	1220	1275
YDL087C	chrIV	300214	300999	-	786	206	112	215	210	303	267
YDL086W	chrIV	301413	302234	+	822	768	550	407	1665	2032	1283
YDL086C-A	chrIV	301655	302089	-	435	0	0	0	0	0	0
YDL085C-A	chrIV	302464	302670	-	207	955	1032	1198	755	646	1083
YDL085W	chrIV	303211	304848	+	1638	34	22	63	1607	2731	2785
YDL084W	chrIV	305237	306577	+	1341	9749	9527	13342	6953	5660	8379
YDL083C	chrIV;chrIV	306926;307766	307333;307789	-;-	432	15691	14294	14679	4867	2783	4699
YDL082W	chrIV;chrIV	308424;308793	308427;309388	+;+	600	10190	7782	9148	3287	1351	2393
YDL081C	chrIV	309802	310122	-	321	16193	18264	16316	6565	4808	7416
YDL080C	chrIV	310642	312471	-	1830	1074	849	1115	852	486	702
YDL079C	chrIV;chrIV	312951;314337	314044;314748	-;-	1506	469	492	733	494	829	989
YDL078C	chrIV	315357	316388	-	1032	4189	4412	4251	13137	10779	11403
YDL077C	chrIV	316971	320120	-	3150	459	437	559	721	956	886
YDL076C	chrIV	320668	321552	-	885	1100	1208	1539	976	1342	1849
YDL075W	chrIV;chrIV	322226;322704	322282;322988	+;+	342	14489	13869	14490	5400	3182	4940
snR63	chrIV	323217	323471	-	255	132	141	198	13	8	27
YDL074C	chrIV	324047	326149	-	2103	2207	2108	2395	1873	1335	1467
YDL073W	chrIV	326613	329567	+	2955	809	854	1059	858	519	824
YDL072C	chrIV	329836	330447	-	612	3491	3153	3104	5477	7500	6838
YDL071C	chrIV	330666	331040	-	375	53	19	29	62	38	42
YDL070W	chrIV	331024	332940	+	1917	3114	2945	3547	7298	6771	4765
YDL069C	chrIV	333121	333810	-	690	187	197	200	184	234	206
YDL068W	chrIV	333500	333829	+	330	8	16	25	13	10	14
YDL067C	chrIV	334217	334396	-	180	3084	3386	2136	3675	3829	3679
YDL066W	chrIV	334835	336121	+	1287	3625	3311	3419	2271	1929	2378
YDL065C	chrIV	336249	337277	-	1029	1348	1412	1502	2193	2193	2349
YDL064W	chrIV;chrIV	337487;337635	337524;338070	+;+	474	1164	1193	1451	1078	1356	1323
YDL063C	chrIV	338272	340134	-	1863	756	736	732	417	65	95
YDL062W	chrIV	339857	340282	+	426	9	7	5	8	3	7
YDL061C	chrIV	340628	340798	-	171	4142	3951	4370	2106	1278	1672
YDL060W	chrIV	341619	343985	+	2367	1871	1653	1428	910	216	367
YDL059C	chrIV	344237	344953	-	717	200	250	257	281	344	389
YDL058W	chrIV	345665	351037	+	5373	880	787	1091	1179	935	1026
YDL057W	chrIV	351434	352420	+	987	332	314	266	1736	1728	1165
YDL056W	chrIV	352877	355378	+	2502	812	745	802	974	1130	1318
YDL055C	chrIV	355674	356759	-	1086	24578	21409	18239	18532	10158	9188
tK(UUU)D	chrIV;chrIV	359577;359637	359613;359672	+;+	73	71	80	51	14	13	20
YDL054C	chrIV	359825	361285	-	1461	1336	1288	1153	1372	1658	1248
YDL053C	chrIV	361699	362256	-	558	972	946	1103	1184	1176	1179
YDL052C	chrIV	362672	363583	-	912	963	620	928	1144	2410	1989
YDL051W	chrIV	363952	364779	+	828	2468	2381	2528	867	358	627
YDL050C	chrIV	364446	364817	-	372	114	133	112	43	30	26
YDL049C	chrIV	365068	365874	-	807	888	925	914	321	171	166
YDL048C	chrIV	366739	368211	-	1473	4980	4384	3924	16850	3216	3468
YDL047W	chrIV	369771	370706	+	936	1702	1449	1495	2135	1752	1729
YDL046W	chrIV	371240	371761	+	522	2270	1802	2100	2378	3965	3042
YDL045W-A	chrIV	372248	372535	+	288	1096	1153	1110	1676	1828	1584
YDL045C	chrIV	372688	373608	-	921	649	723	901	1048	1354	1305
YDL044C	chrIV	373967	375289	-	1323	523	542	550	864	1017	815
YDL043C	chrIV	375680	376480	-	801	750	863	685	797	637	650
YDL042C	chrIV	376757	378445	-	1689	197	223	216	308	319	321
YDL041W	chrIV	378102	378455	+	354	1	0	0	0	0	0
YDL040C	chrIV	378874	381438	-	2565	1827	1248	2046	1464	1173	1544
YDL039C	chrIV	381985	384081	-	2097	317	231	427	219	421	149
YDL037C	chrIV	384601	385587	-	987	85	58	81	50	78	34
YDL036C	chrIV	387513	388901	-	1389	653	546	414	619	420	349
YDL035C	chrIV	389172	392057	-	2886	1269	1421	1470	1169	1406	1713
YDL034W	chrIV	391783	392127	+	345	8	4	6	5	0	6
YDL033C	chrIV	392659	393912	-	1254	250	175	247	511	413	321
YDL032W	chrIV	393690	394001	+	312	0	0	0	0	0	0
YDL031W	chrIV	394217	397204	+	2988	1449	1212	1405	1002	625	615
YDL030W	chrIV	397537	399129	+	1593	662	745	727	893	832	823
YDL029W	chrIV;chrIV	399340;399485	399361;400638	+;+	1176	5290	5417	6191	7520	6860	8086
YDL028C	chrIV	400997	403291	-	2295	597	425	521	465	813	766
YDL027C	chrIV	403695	404957	-	1263	772	648	872	2375	2696	1967
YDL026W	chrIV	404749	405060	+	312	1	3	0	0	1	2
YDL025C	chrIV	405344	407206	-	1863	1082	1013	1099	1269	1692	1608
YDL025W-A	chrIV	405410	405514	+	105	0	0	0	0	0	0
YDL024C	chrIV	408451	409857	-	1407	42	14	42	144	241	262
YDL022C-A	chrIV	409808	410056	-	249	0	2	4	5	6	9
tA(AGC)D	chrIV	410379	410451	+	73	0	0	0	1	0	1
YDL023C	chrIV	411761	412081	-	321	1	2	0	2	1	0
YDL022W	chrIV	411825	413000	+	1176	1698	1448	3421	4205	10745	10146
YDL021W	chrIV	413953	414888	+	936	375	413	680	3715	5286	5264
YDL020C	chrIV	415113	416708	-	1596	1594	1491	2571	6507	10364	8154
YDL019C	chrIV	417663	421514	-	3852	853	746	1174	2058	4456	3754
YDL018C	chrIV	422833	423510	-	678	676	737	740	658	1248	1360
YDL017W	chrIV	424209	425732	+	1524	310	236	323	470	458	420
YDL016C	chrIV	425570	425872	-	303	132	142	179	106	190	181
YDL015C	chrIV	426002	426934	-	933	3086	2815	3865	2438	2701	3849
YDL014W	chrIV	427364	428347	+	984	5757	4455	4493	2132	442	1105
YDL013W	chrIV	429067	430926	+	1860	706	655	787	1070	1192	1386
YDL012C	chrIV;chrIV	431108;431473	431386;431517	-;-	324	866	632	714	707	733	611
YDL011C	chrIV	432308	432631	-	324	0	2	4	2	1	2
YDL010W	chrIV	432330	433025	+	696	308	204	317	233	371	319
YDL009C	chrIV	432925	433248	-	324	106	108	155	110	215	139
YDL008W	chrIV	433497	433994	+	498	1056	1330	805	1535	1548	1341
tT(AGU)D	chrIV	434264	434336	-	73	2	2	2	8	0	2
YDL007C-A	chrIV	436567	436824	-	258	0	0	0	0	0	2
tS(AGA)D1	chrIV	437772	437853	+	82	0	0	3	0	0	0
YDL007W	chrIV	438047	439360	+	1314	5703	6452	6553	12456	11110	10879
YDL006W	chrIV	439909	440754	+	846	820	845	939	981	1007	807
YDL005C	chrIV	441014	442309	-	1296	985	686	1011	985	1271	1464
YDL004W	chrIV	443029	443511	+	483	4145	4025	3386	7022	6452	7055
YDL003W	chrIV	444683	446383	+	1701	1609	1600	1325	508	373	329
YDL002C	chrIV	446967	447578	-	612	1444	1697	1609	1570	1616	1832
YDL001W	chrIV	447984	449276	+	1293	722	672	759	581	637	642
YDR001C	chrIV	450220	452475	-	2256	1484	1410	2011	7841	9684	10689
YDR002W	chrIV	453045	453650	+	606	9335	10763	10204	8411	7817	8802
YDR003W	chrIV	454122	454754	+	633	835	793	1113	985	1977	1924
YDR003W-A	chrIV	454782	454904	+	123	194	166	281	310	597	554
YDR004W	chrIV	455201	456583	+	1383	827	860	954	1311	1090	1035
YDR005C	chrIV;chrIV	456836;458098	458017;458103	-;-	1188	1430	1353	1419	1836	1937	1846
YDR006C	chrIV	458542	461247	-	2706	875	1137	1320	1796	1214	1450
YDR007W	chrIV	461842	462516	+	675	213	287	1109	263	362	1927
YDR008C	chrIV	462252	462602	-	351	5	2	10	2	1	9
YDR009W	chrIV	463434	464996	+	1563	66	56	71	330	321	352
YDR010C	chrIV	465051	465383	-	333	14	24	7	49	44	53
YDR011W	chrIV	465919	470424	+	4506	1669	1395	2459	2622	5218	3809
YDR012W	chrIV	471853	472941	+	1089	9970	8244	7381	4788	2179	2574
YDR013W	chrIV	473157	473783	+	627	586	670	586	486	403	364
YDR014W	chrIV	474046	475989	+	1944	270	306	325	505	381	419
YDR014W-A	chrIV	477797	478285	+	489	5	6	10	105	155	146
YDR015C	chrIV	477960	478199	-	240	0	0	0	0	0	0
YDR016C	chrIV	478474	478758	-	285	802	1022	997	509	925	1018
YDR017C	chrIV	479115	482267	-	3153	1293	1103	1239	1443	1480	1423
YDR018C	chrIV	482670	483860	-	1191	41	48	114	500	985	1103
YDR019C	chrIV	484163	485365	-	1203	1107	1032	619	1248	889	1014
YDR020C	chrIV	485746	486444	-	699	527	566	535	224	168	146
YDR021W	chrIV	486804	488003	+	1200	504	444	383	223	118	111
YDR022C	chrIV	488072	488662	-	591	298	273	286	1246	1343	1487
tV(UAC)D	chrIV	488797	488870	-	74	11	7	8	9	1	4
YDR023W	chrIV	489508	490896	+	1389	10290	9458	11798	5749	2954	4545
YDR024W	chrIV	491017	491502	+	486	23	52	37	17	20	22
YDR025W	chrIV;chrIV	491515;491899	491559;492324	+;+	471	10099	8737	9789	4255	2207	3628
YDR026C	chrIV	492556	494268	-	1713	976	744	773	1006	692	737
YDR027C	chrIV	494649	497318	-	2670	902	846	1171	903	1179	1390
YDR028C	chrIV	497835	500879	-	3045	1864	1688	2225	3962	3370	3635
YDR029W	chrIV	501100	501414	+	315	97	46	82	130	95	129
YDR030C	chrIV	501753	503273	-	1521	386	418	397	1091	1016	924
YDR031W	chrIV	503498	503863	+	366	584	812	707	2442	2994	2549
YDR032C	chrIV	504099	504695	-	597	4717	5175	5965	26637	26923	28216
YDR033W	chrIV	508147	509109	+	963	13074	10108	14127	7275	3323	5161
YDR034C	chrIV	509737	512109	-	2373	1352	1136	1160	1055	877	955
YDR034C-D	chrIV	514043	519356	-	5314	62	74	54	184	145	82
YDR034C-C	chrIV	518040	519356	-	1317	0	0	0	0	0	0
tL(UAA)D	chrIV	519743	519826	+	84	2	0	0	0	2	0
YDR034C-A	chrIV	520516	520692	-	177	0	1	8	8	19	22
tQ(UUG)D1	chrIV	520972	521043	+	72	0	1	0	0	0	0
YDR034W-B	chrIV	521314	521469	+	156	92	152	51	2255	4288	3972
YDR035W	chrIV	521816	522928	+	1113	11250	9407	9829	3687	2674	4125
YDR036C	chrIV	523211	524713	-	1503	578	330	578	1984	1766	1370
YDR037W	chrIV	525440	527215	+	1776	12551	9655	12306	6120	2172	3048
YDR038C	chrIV	527422	530697	-	3276	65	131	113	63	92	58
YDR039C	chrIV	531307	534582	-	3276	8	7	12	7	8	8
YDR040C	chrIV	535192	538467	-	3276	52	70	65	50	63	65
YDR041W	chrIV	539803	540414	+	612	1797	2175	1903	4698	4688	3263
YDR042C	chrIV	540601	541203	-	603	65	68	92	20	26	39
snR47	chrIV	541602	541700	-	99	26	21	33	12	12	8
YDR043C	chrIV	542674	543369	-	696	1050	997	958	2519	3073	2604
YDR044W	chrIV	546642	547628	+	987	829	764	980	1353	773	1164
YDR045C	chrIV	547978	548310	-	333	991	1343	962	674	498	531
YDR046C	chrIV	548762	550576	-	1815	6917	7743	7926	10844	2506	3348
YDR047W	chrIV	551860	552948	+	1089	2786	2485	2385	4862	2305	2567
YDR048C	chrIV	553084	553398	-	315	3	3	1	75	88	34
YDR049W	chrIV	553254	555152	+	1899	590	540	513	979	882	992
YDR050C	chrIV	555726	556472	-	747	38097	36716	41126	33048	23695	31635
YDR051C	chrIV	557056	558060	-	1005	1638	1731	1993	1901	2009	2072
YDR052C	chrIV	558511	560625	-	2115	860	663	753	746	645	643
YDR053W	chrIV	560249	560644	+	396	1	2	3	2	1	1
YDR054C	chrIV	561440	562327	-	888	1513	1119	1543	1859	1912	1896
YDR055W	chrIV	563527	564861	+	1335	5680	4187	2728	40979	27618	27929
YDR056C	chrIV	565023	565640	-	618	2411	2432	2432	6106	7162	5029
YDR057W	chrIV	565927	567555	+	1629	621	589	727	1327	1550	1302
YDR058C	chrIV	567723	568703	-	981	406	544	615	1812	2166	2069
tR(UCU)D	chrIV	568882	568953	+	72	0	0	0	0	0	0
tD(GUC)D	chrIV	568964	569035	+	72	1	2	3	0	0	0
YDR059C	chrIV;chrIV	569234;569724	569633;569770	-;-	447	526	545	544	2814	3277	1959
YDR060W	chrIV	570649	573726	+	3078	3190	2723	2440	1246	228	380
YDR061W	chrIV	574164	575783	+	1620	1366	1401	1332	2839	2972	2077
YDR062W	chrIV	576474	578159	+	1686	2837	2459	3084	2207	1983	2488
YDR063W	chrIV	578663	579112	+	450	973	753	891	1252	1931	2099
YDR064W	chrIV;chrIV	579458;580018	579478;580452	+;+	456	20612	20502	20761	7723	3253	6365
YDR065W	chrIV	580687	581784	+	1098	365	352	416	880	522	429
YDR066C	chrIV	581908	582498	-	591	331	383	346	763	667	512
YDR067C	chrIV	582791	583465	-	675	890	1094	1075	1232	1388	1234
YDR068W	chrIV	583713	584645	+	933	1374	1461	1756	2399	2288	2356
YDR069C	chrIV	584939	587719	-	2781	308	251	458	555	664	679
YDR070C	chrIV	588098	588379	-	282	113	121	370	3935	8535	13476
YDR071C	chrIV	588827	589402	-	576	4349	5005	4754	5006	5254	5314
YDR072C	chrIV	589761	591344	-	1584	2090	2109	3387	3445	2857	2897
YDR073W	chrIV	592439	592948	+	510	638	480	591	424	514	482
YDR074W	chrIV	593893	596583	+	2691	2360	2517	6320	3560	13360	15269
YDR075W	chrIV	597156	598082	+	927	460	256	383	303	194	228
YDR076W	chrIV	598468	599688	+	1221	254	182	206	255	269	245
YDR077W	chrIV	600793	601809	+	1017	17485	13456	11989	20748	32572	36255
YDR078C	chrIV	602198	602869	-	672	394	464	426	486	539	462
YDR079W	chrIV	603064	603399	+	336	787	946	1051	1816	2285	1916
YDR079C-A	chrIV	603593	603811	-	219	468	526	504	678	719	760
YDR080W	chrIV	604008	606986	+	2979	500	546	575	787	655	629
YDR081C	chrIV	607304	610081	-	2778	749	584	855	738	610	657
YDR082W	chrIV	610441	611925	+	1485	497	516	620	753	712	766
YDR083W	chrIV	612073	613251	+	1179	1505	1201	1296	597	360	363
